Player,Span,Mat,Inn,NO,Runs,HS,Avg,100,50,0,Player Profile
JE Root+//0AoA-(ENG),2012+AC0-2019,89,164,12,7359,254,48.41,17,45,8,http://stats.espncricinfo.com/ci/content/player/303669.html
G Kirsten+//0AoA-(SA),1993+AC0-2004,101,176,15,7289,275,45.27,21,34,13,http://stats.espncricinfo.com/ci/content/player/45813.html
WR Hammond+//0AoA-(ENG),1927+AC0-1947,85,140,16,7249,336+ACo-,58.45,22,24,4,http://stats.espncricinfo.com/ci/content/player/14022.html
CH Gayle+//0AoA-(WI),2000+AC0-2014,103,182,11,7214,333,42.18,15,37,15,http://stats.espncricinfo.com/ci/content/player/51880.html
SC Ganguly+//0AoA-(INDIA),1996+AC0-2008,113,188,17,7212,239,42.17,16,35,13,http://stats.espncricinfo.com/ci/content/player/28779.html
V Kohli+//0AoA-(INDIA),2011+AC0-2019,84,141,10,7202,254+ACo-,54.97,27,22,10,http://stats.espncricinfo.com/ci/content/player/253802.html
SP Fleming+//0AoA-(NZ),1994+AC0-2008,111,189,10,7172,274+ACo-,40.06,9,46,16,http://stats.espncricinfo.com/ci/content/player/37000.html
SPD Smith+//0AoA-(AUS),2010+AC0-2019,72,130,16,7164,239,62.84,26,28,4,http://stats.espncricinfo.com/ci/content/player/267192.html
LRPL Taylor+//0AoA-(NZ),2007+AC0-2019,98,173,20,7130,290,46.6,19,33,14,http://stats.espncricinfo.com/ci/content/player/38699.html
GS Chappell+//0AoA-(AUS),1970+AC0-1984,87,151,19,7110,247+ACo-,53.86,24,31,12,http://stats.espncricinfo.com/ci/content/player/4558.html
DA Warner+//0AoA-(AUS),2011+AC0-2019,83,153,6,7088,335+ACo-,48.21,23,30,9,http://stats.espncricinfo.com/ci/content/player/219889.html
AJ Strauss+//0AoA-(ENG),2004+AC0-2012,100,178,6,7037,177,40.91,21,27,15,http://stats.espncricinfo.com/ci/content/player/20387.html
DG Bradman+//0AoA-(AUS),1928+AC0-1948,52,80,10,6996,334,99.94,29,13,7,http://stats.espncricinfo.com/ci/content/player/4188.html
ST Jayasuriya+//0AoA-(SL),1991+AC0-2007,110,188,14,6973,340,40.07,14,31,15,http://stats.espncricinfo.com/ci/content/player/49209.html
L Hutton+//0AoA-(ENG),1937+AC0-1955,79,138,15,6971,364,56.67,19,33,5,http://stats.espncricinfo.com/ci/content/player/14334.html
DB Vengsarkar+//0AoA-(INDIA),1976+AC0-1992,116,185,22,6868,166,42.13,17,35,15,http://stats.espncricinfo.com/ci/content/player/35654.html
KF Barrington+//0AoA-(ENG),1955+AC0-1968,82,131,15,6806,256,58.67,20,35,5,http://stats.espncricinfo.com/ci/content/player/9014.html
GP Thorpe+//0AoA-(ENG),1993+AC0-2005,100,179,28,6744,200+ACo-,44.66,16,39,12,http://stats.espncricinfo.com/ci/content/player/21537.html
BB McCullum+//0AoA-(NZ),2004+AC0-2016,101,176,9,6453,302,38.64,12,31,14,http://stats.espncricinfo.com/ci/content/player/37737.html
KS Williamson+//0AoA-(NZ),2010+AC0-2019,78,137,13,6379,242+ACo-,51.44,21,31,9,http://stats.espncricinfo.com/ci/content/player/277906.html
PA de Silva+//0AoA-(SL),1984+AC0-2002,93,159,11,6361,267,42.97,20,22,7,http://stats.espncricinfo.com/ci/content/player/48462.html
MEK Hussey+//0AoA-(AUS),2005+AC0-2013,79,137,16,6235,195,51.52,19,29,12,http://stats.espncricinfo.com/ci/content/player/5939.html
RB Kanhai+//0AoA-(WI),1957+AC0-1974,79,137,6,6227,256,47.53,15,28,7,http://stats.espncricinfo.com/ci/content/player/52287.html
M Azharuddin+//0AoA-(INDIA),1984+AC0-2000,99,147,9,6215,199,45.03,22,21,5,http://stats.espncricinfo.com/ci/content/player/26329.html
HH Gibbs+//0AoA-(SA),1996+AC0-2008,90,154,7,6167,228,41.95,14,26,11,http://stats.espncricinfo.com/ci/content/player/45224.html
RN Harvey+//0AoA-(AUS),1948+AC0-1963,79,137,10,6149,205,48.41,21,24,7,http://stats.espncricinfo.com/ci/content/player/5603.html
GR Viswanath+//0AoA-(INDIA),1969+AC0-1983,91,155,10,6080,222,41.93,14,35,10,http://stats.espncricinfo.com/ci/content/player/35712.html
RB Richardson+//0AoA-(WI),1983+AC0-1995,86,146,12,5949,194,44.39,16,27,8,http://stats.espncricinfo.com/ci/content/player/52810.html
Azhar Ali+//0AoA-(PAK),2010+AC0-2019,77,146,8,5885,302+ACo-,42.64,16,31,14,http://stats.espncricinfo.com/ci/content/player/39037.html
RR Sarwan+//0AoA-(WI),2000+AC0-2011,87,154,8,5842,291,40.01,15,31,12,http://stats.espncricinfo.com/ci/content/player/52969.html
ME Trescothick+//0AoA-(ENG),2000+AC0-2006,76,143,10,5825,219,43.79,14,29,12,http://stats.espncricinfo.com/ci/content/player/21585.html
DCS Compton+//0AoA-(ENG),1937+AC0-1957,78,131,15,5807,278,50.06,17,28,10,http://stats.espncricinfo.com/ci/content/player/10777.html
Saleem Malik+//0AoA-(PAK),1982+AC0-1999,103,154,22,5768,237,43.69,15,29,12,http://stats.espncricinfo.com/ci/content/player/42623.html
N Hussain+//0AoA-(ENG),1990+AC0-2004,96,171,16,5764,207,37.18,14,33,14,http://stats.espncricinfo.com/ci/content/player/14325.html
CL Hooper+//0AoA-(WI),1987+AC0-2002,102,173,15,5762,233,36.46,13,27,13,http://stats.espncricinfo.com/ci/content/player/52066.html
CA Pujara+//0AoA-(INDIA),2010+AC0-2019,75,124,8,5740,206+ACo-,49.48,18,24,7,http://stats.espncricinfo.com/ci/content/player/32540.html
MP Vaughan+//0AoA-(ENG),1999+AC0-2008,82,147,9,5719,197,41.44,18,18,9,http://stats.espncricinfo.com/ci/content/player/22182.html
AD Mathews+//0AoA-(SL),2009+AC0-2019,84,151,21,5704,160,43.87,9,34,2,http://stats.espncricinfo.com/ci/content/player/49764.html
AC Gilchrist+//0AoA-(AUS),1999+AC0-2008,96,137,20,5570,204+ACo-,47.6,17,26,14,http://stats.espncricinfo.com/ci/content/player/5390.html
MV Boucher+//0AoA-(ICC/SA),1997+AC0-2012,147,206,24,5515,125,30.3,5,35,17,http://stats.espncricinfo.com/ci/content/player/44111.html
MS Atapattu+//0AoA-(SL),1990+AC0-2007,90,156,15,5502,249,39.02,16,17,22,http://stats.espncricinfo.com/ci/content/player/48124.html
TM Dilshan+//0AoA-(SL),1999+AC0-2013,87,145,11,5492,193,40.98,16,23,14,http://stats.espncricinfo.com/ci/content/player/48472.html
TT Samaraweera+//0AoA-(SL),2001+AC0-2013,81,132,20,5462,231,48.76,14,30,11,http://stats.espncricinfo.com/ci/content/player/50424.html
MD Crowe+//0AoA-(NZ),1982+AC0-1995,77,131,11,5444,299,45.36,17,18,9,http://stats.espncricinfo.com/ci/content/player/36622.html
JB Hobbs+//0AoA-(ENG),1908+AC0-1930,61,102,7,5410,211,56.94,15,28,4,http://stats.espncricinfo.com/ci/content/player/14225.html
KD Walters+//0AoA-(AUS),1965+AC0-1981,74,125,14,5357,250,48.26,15,33,4,http://stats.espncricinfo.com/ci/content/player/8151.html
IM Chappell+//0AoA-(AUS),1964+AC0-1980,75,136,10,5345,196,42.42,14,26,11,http://stats.espncricinfo.com/ci/content/player/4560.html
JG Wright+//0AoA-(NZ),1978+AC0-1993,82,148,7,5334,185,37.82,12,23,7,http://stats.espncricinfo.com/ci/content/player/38757.html
MJ Slater+//0AoA-(AUS),1993+AC0-2001,74,131,7,5312,219,42.83,14,21,9,http://stats.espncricinfo.com/ci/content/player/7629.html
N Kapil Dev+//0AoA-(INDIA),1978+AC0-1994,131,184,15,5248,163,31.05,8,27,16,http://stats.espncricinfo.com/ci/content/player/30028.html
WM Lawry+//0AoA-(AUS),1961+AC0-1971,67,123,12,5234,210,47.15,13,27,6,http://stats.espncricinfo.com/ci/content/player/6270.html
Misbah+AC0-ul+AC0-Haq+//0AoA-(PAK),2001+AC0-2017,75,132,20,5222,161+ACo-,46.62,10,39,9,http://stats.espncricinfo.com/ci/content/player/41378.html
